Iteración, tamaño, formato, id, enviadas, recibidas
1, 3,.jpg, -1162235687, 74, 74
1, 3,.jpg, 291678016, 64, 64
1, 3,.jpg, -1871825873, 53, 53
1, 3,.jpg, 2045711046, 69, 69
1, 3,.jpg, 900886056, 77, 77
1, 3,.jpg, -633560560, 70, 70
1, 3,.jpg, 2076881846, 57, 57
1, 3,.jpg, -856098748, 65, 65
1, 3,.jpg, -636471183, 62, 62
1, 3,.jpg, 397857406, 51, 51
1, 3,.jpg, 1556472163, 69, 69
1, 3,.jpg, 1490018567, 49, 49
1, 3,.jpg, -168994818, 63, 63
1, 3,.jpg, -684290345, 92, 92
1, 3,.jpg, 1009472611, 72, 72
1, 3,.jpg, -1185450252, 66, 66
1, 3,.jpg, 1044485854, 54, 54
1, 3,.jpg, 1370846038, 80, 80
1, 3,.jpg, -818474620, 73, 73
1, 3,.png, 1084625406, 7, 4
1, 3,.png, -1869240678, 28, 25
1, 3,.png, 831912754, 6, 2
1, 3,.png, 2068621968, 15, 13
1, 3,.png, -222605068, 13, 9
1, 3,.png, -263840223, 23, 20
1, 3,.png, -1659646708, 11, 8
1, 3,.png, 1274605868, 19, 15
1, 3,.png, -565161753, 15, 12
1, 3,.png, -1618625981, 34, 31
1, 3,.png, -307261447, 7, 4
1, 3,.png, 784633257, 14, 11
1, 3,.png, 344191768, 11, 8
1, 3,.png, -444780655, 13, 10
1, 3,.png, 1535958783, 14, 12
1, 3,.png, 1778154455, 12, 8
1, 3,.png, -959317548, 30, 28
1, 3,.png, -769137662, 17, 15
1, 3,.png, -2090611302, 6, 2
1, 3,.png, -950774113, 6, 2
1, 3,.png, -1211218081, 17, 13
1, 3,.png, -1512112901, 33, 31
1, 3,.png, 515837641, 32, 29
1, 3,.png, 680322195, 32, 28
1, 3,.png, -936292728, 25, 24
1, 3,.png, 1504958325, 17, 13
1, 3,.png, 156125207, 25, 22
1, 3,.png, 719058247, 6, 1
1, 3,.png, -2000315880, 15, 11
1, 3,.png, 104476903, 13, 10
1, 4,.jpg, 1171115635, 33, 33
1, 4,.jpg, 787732939, 19, 16
1, 4,.jpg, 252840269, 9, 4
1, 4,.jpg, -827674853, 32, 31
1, 4,.jpg, -1267965557, 9, 4
1, 4,.jpg, -927545211, 13, 9
1, 4,.jpg, 1183363982, 23, 21
1, 4,.jpg, -971357502, 32, 32
1, 4,.jpg, -266883278, 21, 19
1, 4,.jpg, 230420456, 28, 26
1, 4,.jpg, 1585857978, 32, 31
1, 4,.jpg, -1149817187, 21, 19
1, 4,.jpg, 317739366, 13, 10
1, 4,.jpg, -1808731488, 29, 28
1, 4,.jpg, 423583327, 13, 9
1, 4,.jpg, -551839286, 13, 9
1, 4,.jpg, 721698553, 22, 20
1, 4,.jpg, -544644254, 12, 8
1, 4,.jpg, -1769156638, 13, 9
1, 4,.jpg, 393072359, 35, 35
1, 4,.jpg, -482171583, 9, 4
1, 4,.jpg, -1752389961, 27, 26
1, 4,.jpg, 1779549599, 14, 10
1, 4,.jpg, 2121464519, 13, 9
1, 4,.jpg, 173046430, 9, 4
1, 4,.jpg, 1177195110, 11, 6
1, 4,.jpg, -414843523, 24, 21
1, 4,.jpg, 2096421418, 12, 8
1, 4,.jpg, 109259476, 34, 34
1, 4,.jpg, -1673531673, 27, 26
1, 4,.png, -1759239167, 29, 28
1, 4,.png, 846793166, 9, 4
1, 4,.png, 859130983, 13, 9
1, 4,.png, 1196264149, 10, 5
1, 4,.png, -1611576223, 13, 9
1, 4,.png, -2048322536, 18, 15
1, 4,.png, -1822938954, 30, 29
1, 4,.png, -1268238690, 12, 8
1, 4,.png, -271762634, 12, 8
1, 4,.png, 2114719494, 27, 25
1, 4,.png, 1957857820, 27, 25
1, 4,.png, 1433349846, 28, 27
1, 4,.png, -154506479, 39, 39
1, 4,.png, 1016888725, 37, 37
1, 4,.png, -1075109065, 20, 17
1, 4,.png, 628795360, 28, 26
1, 4,.png, 689979271, 13, 9
1, 4,.png, -366798117, 21, 19
1, 4,.png, -35649509, 16, 12
1, 4,.png, 448656448, 31, 30
1, 4,.png, -811749779, 13, 9
1, 4,.png, -175708659, 10, 5
1, 4,.png, 1815061270, 30, 29
1, 4,.png, -1240141033, 7, 2
1, 4,.png, 1140644402, 13, 9
1, 4,.png, 399096580, 13, 9
1, 4,.png, 1752063090, 18, 15
1, 4,.png, -1581069036, 9, 4
1, 4,.png, 2052193058, 36, 35
1, 4,.png, 1362660412, 32, 31
1, 5,.jpg, 586105517, 31, 31
1, 5,.jpg, -1693194054, 31, 31
1, 5,.jpg, 1416312849, 32, 32
1, 5,.jpg, -1795825376, 20, 19
